CMBD,name,HC01_EST_VC04,HC01_EST_VC05,HC01_EST_VC10,HC01_EST_VC11,HC01_EST_VC12,HC01_EST_VC13,HC01_EST_VC14,HC01_MOE_VC04,HC01_MOE_VC05,HC01_MOE_VC10,HC01_MOE_VC11,HC01_MOE_VC12,HC01_MOE_VC13,HC01_MOE_VC14
19,"CD101, Manhattan",82,94,9,820,0,49,19,0.4,0.7,0.2,1.9,0.0,0.3,0.3
29,"CD102, Manhattan",150,193,30,1651,0,171,54,0.7,1.5,0.6,3.7,0.0,1.1,1.0
30,"CD103, Manhattan",401,178,110,1392,6,326,79,1.9,1.4,2.3,3.1,1.8,2.1,1.4
21,"CD104, Manhattan",293,257,165,1925,1,274,83,1.4,2.0,3.5,4.3,0.3,1.8,1.5
13,"CD105, Manhattan",266,414,51,3885,2,274,37,1.3,3.2,1.1,8.8,0.6,1.8,0.7
31,"CD106, Manhattan",149,129,20,1121,1,102,27,0.7,1.0,0.4,2.5,0.3,0.7,0.5
20,"CD107, Manhattan",202,191,29,1307,1,187,27,1.0,1.5,0.6,3.0,0.3,1.2,0.5
42,"CD108, Manhattan",128,222,6,1439,3,105,11,0.6,1.7,0.1,3.3,0.9,0.7,0.2
60,"CD109, Manhattan",286,128,58,562,4,279,93,1.4,1.0,1.2,1.3,1.2,1.8,1.7
70,"CD110, Manhattan",607,251,153,714,10,411,183,2.9,1.9,3.2,1.6,3.0,2.7,3.4
48,"CD111, Manhattan",648,168,146,685,6,364,257,3.1,1.3,3.1,1.5,1.8,2.3,4.7
71,"CD112, Manhattan",496,192,105,871,7,352,169,2.4,1.5,2.2,2.0,2.1,2.3,3.1
18,"CD164, Manhattan",12,7,4,116,0,31,2,0.1,0.1,0.1,0.3,0.0,0.2,0.0
41,"CD201, Bronx",730,265,215,721,14,520,213,3.5,2.0,4.5,1.6,4.2,3.4,3.9
44,"CD202, Bronx",281,156,178,318,8,221,151,1.3,1.2,3.8,0.7,2.4,1.4,2.8
53,"CD203, Bronx",460,180,140,308,7,327,174,2.2,1.4,3.0,0.7,2.1,2.1,3.2
32,"CD204, Bronx",701,223,160,780,13,505,120,3.4,1.7,3.4,1.8,3.9,3.3,2.2
62,"CD205, Bronx",573,238,136,505,14,427,113,2.8,1.8,2.9,1.1,4.2,2.8,2.1
63,"CD206, Bronx",440,187,203,472,7,320,90,2.1,1.4,4.3,1.1,2.1,2.1,1.6
36,"CD207, Bronx",603,275,210,636,3,465,130,2.9,2.1,4.4,1.4,0.9,3.0,2.4
24,"CD208, Bronx",158,115,63,484,4,146,21,0.8,0.9,1.3,1.1,1.2,0.9,0.4
45,"CD209, Bronx",559,309,95,685,8,545,85,2.7,2.4,2.0,1.5,2.4,3.5,1.6
59,"CD210, Bronx",177,138,92,509,7,134,30,0.8,1.1,1.9,1.1,2.1,0.9,0.5
50,"CD211, Bronx",260,174,83,384,4,216,43,1.2,1.3,1.7,0.9,1.2,1.4,0.8
58,"CD212, Bronx",633,332,151,689,8,446,89,3.0,2.6,3.2,1.6,2.4,2.9,1.6
33,"CD226, Bronx",4,4,5,18,0,4,4,0.0,0.0,0.1,0.0,0.0,0.0,0.1
51,"CD227, Bronx",12,3,2,21,0,11,3,0.1,0.0,0.0,0.0,0.0,0.1,0.1
52,"CD228, Bronx",2,0,4,10,0,5,1,0.0,0.0,0.1,0.0,0.0,0.0,0.0
2,"CD301, Brooklyn",322,434,57,1243,4,322,61,1.5,3.3,1.2,2.8,1.2,2.1,1.1
6,"CD302, Brooklyn",308,196,73,1065,5,265,57,1.5,1.5,1.5,2.4,1.5,1.7,1.0
14,"CD303, Brooklyn",671,561,117,852,17,529,222,3.2,4.3,2.5,1.9,5.1,3.4,4.1
22,"CD304, Brooklyn",329,331,83,516,4,353,81,1.6,2.5,1.7,1.2,1.2,2.3,1.5
64,"CD305, Brooklyn",931,369,159,1040,23,632,364,4.5,2.8,3.4,2.3,6.9,4.1,6.7
54,"CD306, Brooklyn",132,185,42,575,3,151,81,0.6,1.4,0.9,1.3,0.9,1.0,1.5
9,"CD307, Brooklyn",247,145,63,430,4,198,75,1.2,1.1,1.3,1.0,1.2,1.3,1.4
55,"CD308, Brooklyn",386,216,65,524,10,287,103,1.9,1.7,1.4,1.2,3.0,1.9,1.9
16,"CD309, Brooklyn",380,162,30,462,6,213,76,1.8,1.2,0.6,1.0,1.8,1.4,1.4
10,"CD310, Brooklyn",133,134,69,405,3,89,18,0.6,1.0,1.5,0.9,0.9,0.6,0.3
1,"CD311, Brooklyn",204,168,96,471,1,169,42,1.0,1.3,2.0,1.1,0.3,1.1,0.8
11,"CD312, Brooklyn",167,162,56,443,1,119,6,0.8,1.2,1.2,1.0,0.3,0.8,0.1
7,"CD313, Brooklyn",252,102,46,361,2,154,63,1.2,0.8,1.0,0.8,0.6,1.0,1.2
5,"CD314, Brooklyn",254,176,36,663,3,237,61,1.2,1.4,0.8,1.5,0.9,1.5,1.1
8,"CD315, Brooklyn",178,180,74,561,2,133,30,0.9,1.4,1.6,1.3,0.6,0.9,0.5
15,"CD316, Brooklyn",580,183,108,347,14,326,374,2.8,1.4,2.3,0.8,4.2,2.1,6.8
17,"CD317, Brooklyn",581,257,50,575,15,383,139,2.8,2.0,1.1,1.3,4.5,2.5,2.5
39,"CD318, Brooklyn",380,229,39,903,11,290,108,1.8,1.8,0.8,2.0,3.3,1.9,2.0
56,"CD355, Brooklyn",14,4,3,38,0,20,2,0.1,0.0,0.1,0.1,0.0,0.1,0.0
40,"CD356, Brooklyn",1,1,1,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,"CD401, Queens",819,250,57,818,2,207,55,3.9,1.9,1.2,1.8,0.6,1.3,1.0
26,"CD402, Queens",131,150,19,528,3,102,6,0.6,1.2,0.4,1.2,0.9,0.7,0.1
68,"CD403, Queens",426,247,71,734,0,375,78,2.0,1.9,1.5,1.7,0.0,2.4,1.4
27,"CD404, Queens",219,225,52,579,2,223,33,1.1,1.7,1.1,1.3,0.6,1.4,0.6
28,"CD405, Queens",208,298,29,555,1,189,15,1.0,2.3,0.6,1.3,0.3,1.2,0.3
37,"CD406, Queens",59,84,20,373,1,53,9,0.3,0.6,0.4,0.8,0.3,0.3,0.2
49,"CD407, Queens",262,319,29,964,3,212,21,1.3,2.5,0.6,2.2,0.9,1.4,0.4
46,"CD408, Queens",118,198,29,537,3,214,36,0.6,1.5,0.6,1.2,0.9,1.4,0.7
65,"CD409, Queens",273,178,27,361,8,178,38,1.3,1.4,0.6,0.8,2.4,1.1,0.7
61,"CD410, Queens",219,206,70,534,6,204,63,1.1,1.6,1.5,1.2,1.8,1.3,1.2
47,"CD411, Queens",72,179,13,486,2,47,5,0.3,1.4,0.3,1.1,0.6,0.3,0.1
3,"CD412, Queens",830,387,133,913,13,548,374,4.0,3.0,2.8,2.1,3.9,3.5,6.8
66,"CD413, Queens",333,337,31,638,1,216,68,1.6,2.6,0.7,1.4,0.3,1.4,1.2
